source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND605601AAA,IND607106AAA,14,2.0,2.368206123378537,2.3076923076923075,2.6256410256410256,1.0,21.0,11.0,12.2333,['Carting']
IND605601AAA,IND636102AAA,6,1.35,1.445093128949988,1.7916666666666665,2.2,0.6,27.5,21.0,27.390800000000002,['FTL']
IND606003AAA,IND606105AAA,14,1.6666666666666667,1.7232142857142858,1.8083333333333333,2.2900000000000005,0.9642857142857143,11.0,7.0,8.1805,['Carting']
IND606105AAA,IND606201AAC,14,1.5,1.5479340363451617,1.8571428571428568,2.0,0.581081081081081,13.5,8.0,10.6497,['Carting']
IND606201AAC,IND605601AAA,15,1.6666666666666667,1.775184065578185,2.2111111111111112,2.6333333333333333,0.6762589928057554,16.0,9.0,13.5093,['Carting']
IND606801AAB,IND632006AAA,13,2.0,2.335198222424493,2.9166666666666665,3.4438095238095245,0.9230769230769231,42.0,19.0,25.0585,['FTL']
IND606803AAA,IND606801AAB,13,1.3276515151515151,1.9071076251646903,1.641304347826087,4.0,0.8125,28.5,22.5,23.6219,['FTL']
IND607001AAA,IND608001AAA,11,1.8666666666666667,2.190039431750662,2.0,3.2,1.0,30.0,14.0,20.4994,['FTL']
IND607106AAA,IND607801AAA,14,2.2,2.3913105413105415,2.5,3.4000000000000004,1.0,13.0,6.0,9.0082,['Carting']
IND607801AAA,IND606003AAA,15,2.142857142857143,2.3523532668881506,2.4285714285714284,2.960000000000001,0.9534883720930233,16.0,8.0,10.5264,['Carting']
IND608001AAA,IND609110AAA,7,2.7333333333333334,2.567857142857143,2.9333333333333336,3.2,1.0,41.0,16.0,21.1767,['FTL']
IND608301AAA,IND639104AAB,16,1.8441295546558707,1.8360068130847893,2.0746527777777777,2.425724637681159,0.9270833333333334,32.0,19.0,24.528950000000002,['FTL']
IND609001AAA,IND614018AAA,12,1.9821428571428572,2.023677735021551,2.2055555555555557,2.6309523809523805,1.0,47.5,27.0,29.7508,['FTL']
IND609110AAA,IND609602AAA,8,1.973684210526316,1.9869690798967117,2.168421052631579,2.2222222222222223,1.0,31.0,15.0,22.03935,['FTL']
IND609602AAA,IND611001AAA,11,3.111111111111111,3.0462801087801092,3.3413461538461537,3.5,1.0,51.0,16.0,21.607,['FTL']
IND610001AAA,IND605010AAB,10,2.0166666666666666,2.0635994491236618,2.295588235294118,2.5733333333333337,0.9833333333333333,37.5,19.0,24.80855,['FTL']
IND610001AAA,IND614715AAA,17,1.6666666666666667,1.8518054385701443,1.8920454545454544,2.272727272727273,0.9019607843137255,15.0,9.0,10.6996,['Carting']
IND611001AAA,IND610001AAA,10,2.1875,2.319890077243018,2.627450980392157,2.7058823529411766,0.9090909090909091,37.0,17.0,23.534,['FTL']
IND614018AAA,IND613104AAA,10,1.7647058823529411,2.3397192519717125,2.1,3.223923444976076,1.0,42.0,23.0,25.1274,['FTL']
IND614602AAA,IND614804AAA,16,1.5,1.5407744565217392,1.6005434782608696,1.6739130434782612,1.0,36.0,24.0,22.69815,['FTL']
IND614616AAA,IND630002AAA,16,1.5151515151515151,1.950830392071886,2.0,2.733333333333333,1.0,45.0,32.0,31.291400000000003,['FTL']
IND614620AAA,IND630561AAA,16,1.8333333333333333,2.0788668762694735,2.0,2.646666666666668,0.9935064935064936,12.0,7.0,10.0649,['Carting']
IND614715AAA,IND614809AAA,17,1.8675213675213675,1.8592969192320186,2.5,3.4,0.66,17.0,12.0,14.8737,['Carting']
IND614804AAA,IND614616AAA,16,1.28,1.6109914529914529,2.0,2.0,0.6333333333333333,25.0,24.0,22.7515,['FTL']
IND614809AAA,IND610001AAA,17,1.75,2.216986240962736,2.011904761904762,3.083333333333333,0.7763157894736842,17.0,9.0,10.38585,['Carting']
IND620020AAA,IND621112AAA,25,1.9375,1.9362619047619045,2.142857142857143,2.6666666666666665,0.9,13.0,7.0,9.6631,['Carting']
IND621010AAA,IND621212AAA,16,1.4691666666666667,1.6853380994005993,1.915,2.2000000000000006,0.9375,29.0,18.0,20.070050000000002,['FTL']
IND621112AAA,IND620012AAA,1,6.458333333333333,6.458333333333333,6.458333333333333,6.458333333333333,1.0,155.0,24.0,22.6467,['Carting']
