hub_id,hub_name,state,in_degree,out_degree,in_strength,out_strength,betweenness_centrality,avg_outgoing_factor,avg_incoming_factor,avg_outgoing_sla_breach,in_wcc,betweenness_centrality_norm,avg_outgoing_factor_norm,avg_outgoing_sla_breach_norm,out_degree_norm,bottleneck_score,bottleneck_rank
IND509203AAA,Bijnapally_nagar_D (Telangana),Telangana,1,1,1.5833333333333333,1.5238095238095235,0.002233900814211695,1.5238095238095235,1.5833333333333333,0.972972972972973,1,0.006422397080604152,0.13136288997225523,0.972972972,0.02040816326488963,0.2813930289610087,885
IND621212AAA,Perambalur_goplpurm_D (Tamil Nadu),Tamil Nadu,2,1,3.0525,1.7142857142857142,0.0,1.7142857142857142,1.52625,0.9655172413793104,0,0.0,0.14778325121878716,0.965517240413793,0.02040816326488963,0.2813863473978785,886
IND577598AAC,Hiriyur_TahurDPP_D (Karnataka),Karnataka,1,1,1.5,1.8333333333333333,0.0,1.8333333333333333,1.5,0.9545454545454546,1,0.0,0.1580459769978696,0.954545453590909,0.02040816326488963,0.2812090821369281,887
IND261201AAB,Biswan_PatelNGR_D (Uttar Pradesh),Uttar Pradesh,0,1,0.0,1.6055555555555556,0.0,1.6055555555555556,0.0,0.9736842105263158,0,0.0,0.13840996167389186,0.9736842095526316,0.02040816326488963,0.28108476729636434,888
IND691506AAA,Kottarakkara_Amankovl_D (Kerala),Kerala,1,1,1.3818181818181818,1.5857142857142859,3.263373527217277e-05,1.5857142857142859,1.3818181818181818,0.975,1,9.382099903803056e-05,0.13669950737737813,0.9749999990249999,0.02040816326488963,0.28101893843999126,889
IND144001AAC,Jalandhar_Sodal Road (Punjab),Punjab,0,2,0.0,3.8619047619047615,0.0,1.9309523809523808,0.0,0.9330708661417323,1,0.0,0.1664614121367172,0.9330708652086613,0.04081632652977926,0.28100551831581155,890
IND532421AAA,Narasnpeta_HudcoDPP_D (Andhra Pradesh),Andhra Pradesh,1,1,2.0555555555555554,1.6666666666666667,0.0,1.6666666666666667,2.0555555555555554,0.967741935483871,1,0.0,0.14367816090715418,0.967741934516129,0.02040816326488963,0.28091624834555423,891
IND411036AAA,Pune_Mundhawa_L (Maharashtra),Maharashtra,1,1,1.7,2.0,0.0,2.0,1.7,0.9387755102040817,1,0.0,0.172413793088585,0.9387755092653061,0.02040816326488963,0.2808585500782062,892
IND784101AAA,Balipara_EragnDPP_D (Assam),Assam,1,1,2.1666666666666665,1.2777777777777777,0.0,1.2777777777777777,2.1666666666666665,1.0,1,0.0,0.11015325669548487,0.9999999989999999,0.02040816326488963,0.28059953841360463,893
IND723202AAA,Jhalda_GMukrDPP_D (West Bengal),West Bengal,1,1,1.7142857142857142,1.7647058823529411,0.0049054437520488796,1.7647058823529411,1.7142857142857142,0.9381443298969072,1,0.01410300199176214,0.15212981743110443,0.9381443289587628,0.02040816326488963,0.280565811784317,894
IND518501AAA,Nandyal_SrnvsNgr_D (Andhra Pradesh),Andhra Pradesh,1,1,1.5,1.5742753623188406,0.0017948554399695024,1.5742753623188406,1.5,0.9666666666666667,1,0.005160154947091681,0.1357133932916489,0.9666666656999999,0.02040816326488963,0.28046229346912777,895
IND721134AAB,Kolaghat_Central_DPP_2 (West Bengal),West Bengal,1,2,1.0011520737327189,3.175,0.0018090303478904514,1.5875,1.0011520737327189,0.953125,1,0.005200907377401108,0.13685344826406434,0.953124999046875,0.04081632652977926,0.2804373783892921,896
IND301019AAA,Bhiwadi DC (Rajasthan),Rajasthan,0,2,0.0,4.993042378241619,0.0,2.4965211891208097,0.0,0.8819444444444444,1,0.0,0.21521734387117175,0.8819444435624999,0.04081632652977926,0.2804128958378848,897
IND802158AAB,Jagdishpur_Wardno13_D (Bihar),Bihar,2,1,4.177858439201452,2.128205128205128,0.0016376201700217608,2.128205128205128,2.088929219600726,0.918918918918919,1,0.004708108315362988,0.18346595931221227,0.918918918,0.02040816326488963,0.28030528172816355,898
IND571426AAA,Krishnarajpet_MuruPost_D (Karnataka),Karnataka,2,1,5.5,1.7222222222222223,0.0011991117690599556,1.7222222222222223,2.75,0.9555555555555556,1,0.003447409963743779,0.14846743293739267,0.9555555546,0.02040816326488963,0.28027356486139193,899
IND121004AAC,Faridabad_MohnVRTL_D (Haryana),Haryana,1,1,1.95,2.2222222222222223,0.0,2.2222222222222223,1.95,0.9166666666666666,1,0.0,0.1915708812095389,0.9166666657499999,0.02040816326488963,0.2801206112296182,900
IND500008AAD,Hyderabad_Tolichwk_L (Telangana),Telangana,0,1,0.0,2.2214285714285715,0.0,2.2214285714285715,0.0,0.9166666666666666,1,0.0,0.19150246303767837,0.9166666657499999,0.02040816326488963,0.280103506686653,901
IND305802AAA,Kishangarh_Central_D_2 (Rajasthan),Rajasthan,1,1,2.18859649122807,2.1059782608695654,0.002384900074019245,2.1059782608695654,2.18859649122807,0.9166666666666666,1,0.006856515372334849,0.18154985005931168,0.9166666657499999,0.02040816326488963,0.2800151338223785,902
IND572201AAB,Tiptur_YTRd_D (Karnataka),Karnataka,2,4,3.4453781512605035,6.807016019779177,0.0016313841598815692,1.7017540049447943,1.7226890756302518,0.9166666666666666,1,0.004690179975364994,0.14670293144811133,0.9166666657499999,0.08163265305955852,0.27972886024983934,903
